epoch,lr,train_loss,val_loss,val_dice
1,0.0001,2.9664,2.4511,0.0341
2,0.0001,2.2037,2.2164,0.0137
3,0.0001,2.0727,2.078,0.0389
4,0.0001,2.0673,2.0868,0.0362
5,0.0001,2.0242,2.1298,0.0494
6,0.0001,1.9846,2.1372,0.0393
7,0.0001,1.9618,2.0421,0.0606
8,0.0001,1.8978,2.1767,0.0301
9,0.0001,1.8851,2.0751,0.0716
10,0.0001,1.822,2.1574,0.0959
11,0.0001,1.8141,2.1229,0.0839
12,0.0001,1.7164,1.8839,0.1223
13,0.0001,1.7069,1.9647,0.0966
14,0.0001,1.6459,1.9336,0.123
15,0.0001,1.5967,2.0449,0.1523
16,0.0001,1.553,1.9201,0.1447
17,0.0001,1.4968,1.9114,0.1305
18,0.0001,1.4483,1.9999,0.1007
19,0.0001,1.4346,1.8184,0.1876
20,0.0001,1.4216,1.9821,0.1572
21,0.0001,1.3451,1.8736,0.1904
22,0.0001,1.321,1.9985,0.1961
23,0.0001,1.3006,1.8823,0.138
24,0.0001,1.3154,1.9679,0.1716
25,0.0001,1.2743,1.7989,0.175
26,0.0001,1.2464,1.8668,0.1644
27,0.0001,1.2542,1.8851,0.1653
28,0.0001,1.2458,1.9032,0.1751
29,5e-05,1.1717,1.861,0.1951
30,5e-05,1.1312,1.895,0.1831
31,5e-05,1.1356,1.7014,0.2145
32,5e-05,1.1474,1.8993,0.2169
33,5e-05,1.132,1.9117,0.2341
34,5e-05,1.1144,1.8316,0.2064
35,5e-05,1.1247,1.9668,0.1925
36,5e-05,1.0878,1.8206,0.2429
37,5e-05,1.0928,1.9286,0.1833
38,5e-05,1.0941,1.8866,0.1907
39,5e-05,1.0793,1.8447,0.2104
40,5e-05,1.0724,1.9364,0.2183
41,5e-05,1.0609,1.8459,0.2035
42,5e-05,1.0616,1.8461,0.2352
43,2.5e-05,1.0337,1.8255,0.2283
44,2.5e-05,1.0234,1.6849,0.2555
45,2.5e-05,1.0239,1.7505,0.2398
46,2.5e-05,1.0116,1.822,0.2279
47,2.5e-05,1.0241,1.9574,0.2212
48,2.5e-05,1.0166,1.8156,0.2546
49,2.5e-05,1.0109,1.9526,0.2139
50,2.5e-05,0.9985,2.0186,0.218
51,1.25e-05,1.0008,1.8319,0.2506
52,1.25e-05,0.9939,2.067,0.2264
53,1.25e-05,0.9925,1.7877,0.2655
54,1.25e-05,0.9895,1.9419,0.23
55,1.25e-05,0.982,1.9163,0.2628
56,1.25e-05,0.9767,1.8228,0.2466
57,1.25e-05,0.9801,1.9109,0.241
58,1.25e-05,0.9706,1.8103,0.2478
59,1.25e-05,0.9635,2.0176,0.2517
60,6.25e-06,0.9744,1.928,0.259
61,6.25e-06,0.9716,1.8551,0.2477
62,6.25e-06,0.9774,1.9586,0.2598
63,6.25e-06,0.9657,1.8641,0.2528
64,6.25e-06,0.9678,1.9116,0.2456
65,6.25e-06,0.9655,1.8474,0.2645
66,3.13e-06,0.9662,1.8161,0.2659
67,3.13e-06,0.9626,1.9799,0.2731
68,3.13e-06,0.9621,1.9045,0.2563
69,3.13e-06,0.9654,1.9285,0.242
70,3.13e-06,0.9565,2.0452,0.2611
71,3.13e-06,0.968,1.8684,0.2436
72,3.13e-06,0.9653,1.8828,0.2736
73,3.13e-06,0.9653,1.8342,0.2663
74,3.13e-06,0.9532,1.8913,0.243
75,3.13e-06,0.9572,1.9715,0.2475
76,3.13e-06,0.9525,1.9994,0.2577
77,3.13e-06,0.9565,1.9561,0.2442
78,3.13e-06,0.9546,1.931,0.2474
79,1.56e-06,0.9528,1.8968,0.2317
80,1.56e-06,0.953,1.901,0.234
81,1.56e-06,0.9548,1.932,0.2334
82,1.56e-06,0.9559,1.7962,0.272
83,1.56e-06,0.9567,1.7792,0.284
84,1.56e-06,0.9482,1.8297,0.2839
85,1.56e-06,0.9547,1.9075,0.2732
